"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2015","329.30","364.00","369.20","325.50","3.98M","-9.01%"
"02/01/2015","335.30","327.30","355.50","319.20","4.48M","1.82%"
"03/01/2015","358.20","336.10","361.00","324.50","8.07M","6.83%"
"04/01/2015","323.70","353.20","358.90","317.50","6.17M","-9.63%"
"05/01/2015","323.50","324.50","337.80","320.90","6.94M","-0.06%"
"06/01/2015","329.70","325.00","340.00","321.60","9.42M","1.92%"
"07/01/2015","330.50","330.10","349.80","325.50","9.07M","0.24%"
"08/01/2015","316.70","330.00","330.50","309.00","6.53M","-4.18%"
"09/01/2015","285.10","316.10","318.00","284.50","5.24M","-9.98%"
"10/01/2015","248.60","285.10","287.90","236.10","6.35M","-12.80%"
"11/01/2015","265.50","250.80","267.30","246.70","3.69M","6.80%"
"12/01/2015","253.00","267.90","275.70","250.00","3.43M","-4.71%"
"01/01/2016","256.70","253.40","274.00","251.10","3.63M","1.46%"
"02/01/2016","256.60","257.00","264.70","253.10","2.91M","-0.04%"
"03/01/2016","226.80","250.10","251.50","224.50","3.80M","-11.61%"
"04/01/2016","246.40","227.00","253.00","226.90","2.25M","8.64%"
"05/01/2016","255.10","245.00","258.00","241.80","2.66M","3.53%"
"06/01/2016","254.70","255.00","257.20","249.00","2.54M","-0.16%"
"07/01/2016","276.40","252.00","286.00","250.00","5.49M","8.52%"
"08/01/2016","263.90","276.60","279.40","262.00","3.18M","-4.52%"
"09/01/2016","269.80","262.90","270.00","260.00","1.75M","2.24%"
"10/01/2016","273.20","268.50","285.00","265.60","3.56M","1.26%"
"11/01/2016","283.40","273.00","292.00","272.50","5.75M","3.73%"
"12/01/2016","284.10","283.90","290.00","283.00","3.53M","0.25%"
"01/01/2017","301.60","283.50","309.00","281.50","7.96M","6.16%"
"02/01/2017","309.00","301.00","321.00","301.00","5.11M","2.45%"
"03/01/2017","332.10","309.20","334.50","308.60","4.25M","7.48%"
"04/01/2017","337.60","332.20","352.90","328.10","4.26M","1.66%"
"05/01/2017","328.70","337.90","341.20","325.20","2.39M","-2.64%"
"06/01/2017","344.40","329.20","344.60","329.20","3.42M","4.78%"
"07/01/2017","379.50","344.30","382.00","335.00","10.54M","10.19%"
"08/01/2017","389.60","379.70","394.80","370.00","5.39M","2.66%"
"09/01/2017","415.30","392.00","435.00","390.50","6.18M","6.60%"
"10/01/2017","438.30","412.30","453.30","408.00","5.22M","5.54%"
"11/01/2017","471.40","439.80","506.90","438.00","8.01M","7.55%"
"12/01/2017","470.80","472.10","492.00","460.10","4.82M","-0.13%"
"01/01/2018","502.40","471.00","513.10","468.80","7.46M","6.71%"
"02/01/2018","478.70","504.00","511.90","466.30","4.23M","-4.72%"
"03/01/2018","462.00","478.90","492.00","460.30","3.06M","-3.49%"
"04/01/2018","469.60","464.90","498.00","464.90","4.62M","1.65%"
